Rk,Player,Tm,Salary17to18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
223,Kyle O'Quinn,NYK,4087500,4256250,,,,,Bird Rights,4087500
236,Frank Ntilikina,NYK,3501120,4155720,4855800,6176578,,,1st Round Pick,7656840
244,Doug McDermott,NYK,3294994,,,,,,1st Round Pick,3294994
258,Mindaugas Kuzminskas,NYK,3025035,,,,,,,3025035
293,Ramon Sessions,NYK,2328652,,,,,,Minimum Salary,2328652
300,Jarrett Jack,NYK,2328652,,,,,,,
316,Michael Beasley,NYK,2116955,,,,,,Minimum Salary,2116955
399,Willy Hernangomez,NYK,1435750,1544951,1701735,,,,Cap Space,2980701
439,Chasson Randle,NYK,1312611,,,,,,,
446,Damyean Dotson,NYK,1100000,1378242,1618520,,,,Minimum Salary,2478242
492,Marshall Plumlee,NYK,100000,,,,,,,100000
498,Nigel Hayes,NYK,50000,,,,,,,50000
7,Russell Westbrook,OKC,28530608,35350000,38178000,41006000,43848000,,Bird Rights,186912608
12,Carmelo Anthony,OKC,26243760,27928140,,,,,Bird Rights,26243760
32,Steven Adams,OKC,22471910,24157303,25842697,27528090,,,1st Round Pick,100000000
43,Paul George,OKC,19508958,20703384,,,,,1st Round Pick,19508958
132,Andre Roberson,OKC,9259259,10000000,10740741,,,,Bird Rights,30000000
186,Alex Abrines,OKC,5725000,5455236,,,,,Cap Space,11180236
197,Patrick Patterson,OKC,5192000,5451600,5711200,,,,MLE,10643600
208,Kyle Singler,OKC,4666500,4996000,5333500,,,,Bird Rights,9662500
282,Ronnie Price,OKC,2442455,,,,,,,2442455
291,Nick Collison,OKC,2328652,,,,,,Minimum Salary,2328652
292,Raymond Felton,OKC,2328652,,,,,,Minimum Salary,2328652
342,Terrance Ferguson,OKC,1785000,2118840,2475840,3944013,,,1st Round Pick,3903840
365,Jerami Grant,OKC,1524305,,,,,,Draft Pick,1524305
387,Josh Huestis,OKC,1471382,,,,,,,1471382
459,Dakari Johnson,OKC,815615,1378242,,,,,,2193857
59,Evan Fournier,ORL,17000000,17000000,17000000,17000000,,,Cap Space,51000000
60,Bismack Biyombo,ORL,17000000,17000000,17000000,,,,Cap Space,34000000
99,Nikola Vucevic,ORL,12250000,12750000,,,,,Bird Rights,25000000
118,Terrence Ross,ORL,10500000,10500000,,,,,Rookie scale extension,21000000
156,D.J. Augustin,ORL,7250000,7250000,7250000,,,,Cap Space,21750000
168,Jonathon Simmons,ORL,6300000,6000000,5700000,,,,Cap space,13300000
179,Shelvin Mack,ORL,6000000,6000000,,,,,Cap space,6000000
191,Aaron Gordon,ORL,5504420,,,,,,1st Round Pick,5504420
220,Jonathan Isaac,ORL,4186320,4969080,5806440,7362566,,,1st Round Pick,9155400
224,Mario Hezonja,ORL,4078320,,,,,,1st round pick,4078320
242,Elfrid Payton,ORL,3332340,,,,,,1st Round Pick,3332340
290,Arron Afflalo,ORL,2328652,,,,,,Minimum Salary,2328652
315,Marreese Speights,ORL,2116955,,,,,,Minimum Salary,2116955
448,Wesley Iwundu,ORL,1050000,1378242,1618520,,,,,2428242
473,Khem Birch,ORL,815615,1378242,,,,,Minimum Salary,407808
483,C.J. Watson,ORL,333334,333333,333333,,,,,1000000
27,J.J. Redick,PHI,23000000,,,,,,Cap space,23000000
62,Robert Covington,PHI,16698103,10464092,11301219,12138345,12975471,,Cap Space,63577230
111,Amir Johnson,PHI,11000000,,,,,,Cap space,11000000
133,Trevor Booker,PHI,9125000,,,,,,Cap Space,9125000
135,Jerryd Bayless,PHI,9000000,8575916,,,,,Cap Space,17575916
157,Markelle Fultz,PHI,7026240,8339880,9745200,12288697,,,1st Round Pick,15366120
173,Ben Simmons,PHI,6168840,6434520,8113930,,,,1st Round pick,12603360
174,Joel Embiid,PHI,6100266,25250000,27270000,29290000,31310000,,1st Round Pick,6100266
284,Dario Saric,PHI,2422560,2526840,3481986,,,,1st Round pick,4949400
356,Justin Anderson,PHI,1579440,2516048,,,,,1st Round pick,4095488
395,Richaun Holmes,PHI,1471382,1600520,,,,,,
396,T.J. McConnell,PHI,1471382,1600520,,,,,,
398,Furkan Korkmaz,PHI,1465920,1740000,2033160,3665787,,,1st Round Pick,3205920
404,Timothe Luwawu-Cabarrot,PHI,1386600,1544951,2529684,,,,1st Round pick,2931551
451,Gerald Henderson,PHI,1000000,,,,,,,1000000
479,Tibor Pleiss,PHI,500000,,,,,,,500000
51,Greg Monroe,PHO,17884176,,,,,,Cap Space,17884176
88,Brandon Knight,PHO,13618750,14631250,15643750,,,,,43893750
90,Tyson Chandler,PHO,13000000,13585000,,,,,Cap Space,26585000
124,Jared Dudley,PHO,10000000,9530000,,,,,Cap Space,19530000
178,Alan Williams,PHO,6000000,5520000,5520000,,,,Cap space,6000000
199,Josh Jackson,PHO,5090040,6041520,7059480,8930242,,,1st Round Pick,11131560
213,Dragan Bender,PHO,4468800,4661280,5896519,,,,1st Round pick,9130080
218,Alex Len,PHO,4187599,,,,,,1st Round Pick,4187599
239,Troy Daniels,PHO,3408520,3258540,,,,,Cap Space,6667060
252,T.J. Warren,PHO,3152931,11750000,10810000,11750000,12690000,,1st Round Pick,50152931
254,Marquese Chriss,PHO,3073800,3206160,4078236,,,,1st Rd pick,6279960
302,Devin Booker,PHO,2319360,3314365,,,,,1st round pick,5633725
419,Tyler Ulis,PHO,1312611,1544951,1676735,,,,Cap Space,1312611
438,Derrick Jones,PHO,1312611,,,,,,,
466,Davon Reed,PHO,815615,1378242,1618520,,,,Minimum Salary,1504736
478,Leandro Barbosa,PHO,500000,,,,,,,500000
13,Damian Lillard,POR,26153057,27977689,29802321,31626953,,,1st Round Pick,115560020
19,C.J. McCollum,POR,23962573,25759766,27556959,29354152,,,1st Round Pick,106633450
57,Evan Turner,POR,17131148,17868852,18606557,,,,Cap Space,53606557
123,Maurice Harkless,POR,10162922,10837079,11511234,,,,Cap Space,32511235
127,Meyers Leonard,POR,9904495,10595506,11286515,,,,Cap Space,31786516
154,Al-Farouq Aminu,POR,7319035,6957105,,,,,Cap Space,14276140
167,Ed Davis,POR,6352531,,,,,,Cap Space,6352531
235,Noah Vonleh,POR,3505233,,,,,,1st Round Pick,3505233
255,Zach Collins,POR,3057240,3628920,4240200,5406255,,,1st Round Pick,6686160
262,Jusuf Nurkic,POR,2947305,,,,,,1st Round Pick,2947305
265,Andrew Nicholson,POR,2844429,2844429,2844429,2844429,2844429,,,19911003
288,Shabazz Napier,POR,2361360,,,,,,1st Round Pick,2361360
335,Anderson Varejao,POR,1913345,1913345,1913345,1913345,,,,7653380
386,Pat Connaughton,POR,1471382,,,,,,Minimum Salary,1471382
397,Caleb Swanigan,POR,1465920,1740000,2033160,3665787,,,1st Round Pick,3205920
418,Jake Layman,POR,1312611,1544951,,,,,Cap Space,1312611
482,Festus Ezeli,POR,333334,333333,333333,,,,,1000000
41,George Hill,SAC,20000000,19000000,18000000,,,,Cap space,40000000
98,Zach Randolph,SAC,12307692,11692308,,,,,Cap space,24000000
131,Bogdan Bogdanovic,SAC,9470614,9000000,8529386,,,,Cap space,27000000
140,Kosta Koufos,SAC,8393000,8739500,,,,,Cap Space,8393000
142,Vince Carter,SAC,8000000,,,,,,Cap space,8000000
143,Garrett Temple,SAC,8000000,8000000,,,,,Cap Space,8000000
210,De'Aaron Fox,SAC,4609200,5407920,6392760,8099627,,,1st Round Pick,10017120
232,Willie Cauley-Stein,SAC,3704160,4696875,,,,,1st round pick,8401035
233,Buddy Hield,SAC,3675480,3833760,4861208,,,,1st Round pick,7509240
287,Justin Jackson,SAC,2365560,2807880,3280920,5029650,,,1st Round Pick,5173440
303,Georgios Papagiannis,SAC,2301360,2400480,3430288,,,,1st Round pick,4701840
314,Matt Barnes,SAC,2133542,2133542,2133541,,,,,6400625
331,Anthony Tolliver,SAC,2000000,,,,,,,2000000
340,Harry Giles,SAC,1859400,2207040,2578800,3976510,,,1st Round Pick,4066440
376,Malachi Richardson,SAC,1504560,1569360,2581597,,,,1st Round pick,3073920
377,Arron Afflalo,SAC,1500000,,,,,,,1500000
